

チアフルガール,トーセンホマレボシ,チアフル(IRE)
チャンピオンルパン,ハーツクライ,マイマスタートップ
チャンプライダー,アドマイヤドン,ミュージカルクイン(USA)
チャーチタウン,セイントアレックス(USA),ローズカーニバル(USA)
チャーマー,ストーミングホーム(GB),ヴェルヴェットクイーン(GB)
チャーミングテイル,ハーツクライ,シャルマンスタイル
チャーミングバイオ,シルバーチャーム(USA),ケイパブルバイオ
チャーミングポッケ,ジャングルポケット,キミーズキッド(USA)
チャーミングホープ,キングズベスト(USA),ビワパシフィカス
チャーミングリボン,ヴァーミリアン,プライムナンバー
チャーミングリリ,プリサイスエンド(USA),サイレントイヴ
チャームクォーク,クロフネ(USA),フェルミオン
チャームドライフ,シルバーチャーム(USA),スウィートエルフ
チャームリング,ヨハネスブルグ(USA),エメラルドチャーム
チャーリーバローズ,ワークフォース(GB),ハッピームード
チュウワウィザード,キングカメハメハ,チュウワブロッサム
チュウワカレント,スウィフトカレント,ベルネージュ
チュウワサイレンス,サイレントディール,ベルネージュ
チュウワファースト,ハーツクライ,トップチョイス(USA)
チュウワワンダー,デュランダル,ソーマサイト
チュラウミ,サイレントディール,トゥルービューティ
チュラカーギー,ゴールドアリュール,キッズスター(USA)
チョイワルオヤヂ,ファスリエフ(USA),アースシャープ
チョウヴィクトリー,ヴィクトリー,チョウハッスル
チョウエンペラー,トーホウエンペラー,エイシンシグマ
チョウカスケード,エイシンデピュティ,チョウスペシャル
チョウキタイ,シンボリクリスエス(USA),チョウキセキ
チョウキャプテン,キャプテントゥーレ,チョウハッスル
チョウキングローズ,ローズキングダム,チョウハイレベル
チョウクルクル,コンデュイット(IRE),スーパーマルトク
チョウコイコイ,ヒルノダムール,チョウワクワク
チョウサンペガサス,タヤスツヨシ,カネショウベガ
チョウテッパン,サウスヴィグラス(USA),チョウキセキ
チョウフレンドリー,フレンチデピュティ(USA),チョウワンダー
チョウヨウ,シニスターミニスター(USA),アオバ
チョウリアリティ,エンパイアメーカー(USA),チョウハッスル
チョウレンチャン,エンパイアメーカー(USA),レンヌルシャトー
チョコタベチャウゾ,マツリダゴッホ,ユメミルテーラー
チョコマウンテン,ローエングリン,ストック
チョコマカロン,ブラックタキシード,アルテミスターキン
チョコレートパフェ,シニスターミニスター(USA),ストロベリーパフェ
チョトツ,ストロングリターン,セイカシリアス
チョリータ,メイショウボーラー,スカラムーシュ
チョンマゲ,ブラックタイド,ジューンブライド
チョーハッピー,サンライズペガサス,トヨサンハッピー
チリナリエ,アドマイヤジャパン,サクライリューム
チリーシルバー(USA),Malibu Moon(USA),Jacey's Reward(USA)
チンスコウ,ショウナンカンプ,インシステント(USA)
チークス,カネヒキリ,ロキロキ
チークトゥチーク,クロフネ(USA),ムードインディゴ
チーターイモン,ダンスインザダーク,エンディアメント
チーフアセスメント,フジキセキ,チーフオフィサー２(USA)
チーフコンダクター,メイショウサムソン,ファーストチェア
